"","id_ccbh","bpo_ecoli","cco_ecoli","mfo_ecoli","bp_ecoli","cc_ecoli","mf_ecoli","bpo_pao1","cco_pao1","mfo_pao1","bp_pao1","cc_pao1","mf_pao1"
"3663","PA4851_26180",0.07,NA,0.132,1,NA,1,0.074,NA,0.123,1,NA,1
"3664","PA4851_26190",0.266,0.329,0.094,2,2,1,0.273,0.37,0.09,2,2,1
"3665","PA4851_26210",0.145,0.221,0.22,1,1,1,0.175,0.268,0.275,1,2,2
"3666","PA4851_26215",NA,0.692,0.894,NA,3,4,NA,0.157,0.551,NA,1,3
"3667","PA4851_26220",0.269,0.557,0.328,2,3,2,0.369,1,0.567,2,4,3
"3668","PA4851_26225",0.742,1,NA,3,4,NA,0.742,1,NA,3,4,NA
"3669","PA4851_26230",0.342,0.683,0.502,2,3,3,0.318,0.832,0.488,2,4,2
"3670","PA4851_26235",0.318,0.58,0.555,2,3,3,0.265,0.338,0.481,2,2,2
"3671","PA4851_26240",0.227,0.301,0.102,1,2,1,0.285,0.28,0.117,2,2,1
"3672","PA4851_26250",0.14,NA,NA,1,NA,NA,0.457,0.628,0.048,2,3,1
"3673","PA4851_26270",0.077,0.397,0.051,1,2,1,0.537,0.808,0.018,3,4,1
"3674","PA4851_26280",0.195,NA,NA,1,NA,NA,0.218,0.394,0.038,1,2,1
"3675","PA4851_26285",0.163,NA,0.125,1,NA,1,0.751,NA,0.861,4,NA,4
"3676","PA4851_26290",0.348,0.455,0.399,2,2,2,0.354,0.337,0.389,2,2,2
"3677","PA4851_26295",0.301,0.801,0.376,2,4,2,0.461,0.861,0.029,2,4,1
"3678","PA4851_26300",0.343,0.567,0.38,2,3,2,0.375,0.53,0.407,2,3,2
"3679","PA4851_26305",0.87,NA,0.704,4,NA,3,0.87,NA,0.704,4,NA,3
"3680","PA4851_26310",0.195,0.3,0.098,1,2,1,0.281,0.285,0.108,2,2,1
"3681","PA4851_26315",0.232,0.641,0.347,1,3,2,0.408,0.834,0.56,2,4,3
"3682","PA4851_26320",NA,0.169,NA,NA,1,NA,NA,0.283,NA,NA,2,NA
"3683","PA4851_26325",0.148,0.267,0.149,1,2,1,0.167,0.666,0.21,1,3,1
"3684","PA4851_26330",0.036,0.314,0.134,1,2,1,0.044,0.394,0.125,1,2,1
"3685","PA4851_26335",0.187,0.614,0.119,1,3,1,0.408,0.724,0.063,2,3,1
"3686","PA4851_26340",0.295,0.722,0.482,2,3,2,0.408,0.716,0.629,2,3,3
"3687","PA4851_26345",1,0.781,0.807,4,4,4,NA,NA,0.328,NA,NA,2
"3688","PA4851_26355",0.198,0.483,0.183,1,2,1,0.384,0.519,0.362,2,3,2
"3689","PA4851_26360",0.27,0.684,0.568,2,3,3,0.29,0.657,0.231,2,3,1
"3690","PA4851_26370",NA,0.432,NA,NA,2,NA,NA,0.434,NA,NA,2,NA
"3691","PA4851_26380",0.353,NA,0.415,2,NA,2,0.194,NA,0.452,1,NA,2
"3692","PA4851_26385",0.045,0.301,0.109,1,2,1,0.057,NA,0.048,1,NA,1
